title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Farewell to the Land",movie,Drama,1982,tt0133192,6.9,160,JP
Interstellar,movie,"Adventure, Drama, Sci-Fi",2014,tt0816692,8.7,2184446,JP
"She Made Them Do It",movie,"Crime, Drama",2013,tt2336846,6.2,1753,US
"I Am: Sm Town Live World Tour In Madison Square Garden",movie,"Documentary, Music",2012,tt6449592,8.3,14,JP
"Lovers Lost",movie,"Drama, Romance",1982,tt0322118,6.4,180,JP
"The Zero Theorem",movie,"Comedy, Drama, Fantasy",2013,tt2333804,6,50162,JP
"A Most Wanted Man",movie,"Crime, Drama, Thriller",2014,tt1972571,6.7,81414,JP
"The Purge",movie,"Horror, Sci-Fi, Thriller",2013,tt2184339,5.7,246306,US
Collision,movie,"Action, Romance, Thriller",2013,tt1680123,5.9,3510,JP
"Miracle in Cell No. 7",movie,"Comedy, Drama",2013,tt2659414,8.1,24555,JP
"Castle Under Fiery Skies",movie,"Drama, History",2009,tt1467269,6.5,144,JP
"Kamen Rider Ryuki: Episode Final",movie,"Action, Drama, Fantasy",2002,tt0482364,7,206,JP
Blackfish,movie,"Documentary, Drama, Horror",2013,tt2545118,8.1,73724,US
Aegis,movie,"Action, Drama, Thriller",2005,tt0457643,5.5,302,JP
"A Road Stained Crimson",movie,Drama,2012,tt2378077,4.8,24,JP
Bozo,movie,Drama,2013,tt2569770,6.1,13,JP
"An Amish Murder",movie,"Drama, Mystery, Thriller",2013,tt2234451,6.2,2439,US
"The Incident",movie,"Crime, Drama, Mystery",1978,tt0202932,6.6,172,JP
"An Affair",movie,"Drama, Romance",1998,tt0239510,6.8,562,JP
"The Berlin File",movie,"Action, Thriller",2013,tt2357377,6.6,7712,JP
"Gokaiger Goseiger Super Sentai 199 Hero Great Battle",movie,"Action, Sci-Fi",2011,tt1869453,7.7,216,JP
"Somewhere Under the Broad Sky",movie,Drama,1954,tt0134770,7,222,JP
"Nana to Kaoru: Chapter 2",movie,"Drama, Romance",2012,tt2278400,5.2,73,JP
"How I Live Now",movie,"Action, Adventure, Drama",2013,tt1894476,6.4,32301,US
"Memories of Tomorrow",movie,Drama,2006,tt0494640,7.5,934,JP
"Truck Rascals",movie,"Action, Comedy, Romance",1975,tt0360088,6.3,136,JP
"Tenchi: The Samurai Astronomer",movie,"Biography, Drama",2012,tt1834303,6.8,355,JP
"Dog in a Sidecar",movie,Drama,2007,tt0997093,6.8,320,JP
"The Snow Queen",movie,"Adventure, Animation, Family",2012,tt2243621,5.4,2911,JP
Onna,movie,Drama,1948,tt0040670,6.6,162,JP
"New World",movie,"Action, Crime, Drama",2013,tt2625030,7.5,26969,JP
"Night Time Picnic",movie,Drama,2006,tt0498605,6.7,207,JP
"Kimi ni shika kikoenai",movie,"Drama, Romance",2007,tt0997163,6.6,253,JP
"Toriko 3D: Kaimaku! Gourmet Adventure!!",movie,"Animation, Short",2011,tt1865541,6.2,61,JP
Haunter,movie,"Fantasy, Horror, Mystery",2013,tt2345567,5.9,19042,JP
"Kamen Rider Fourze: Everyone, Space is Here!",movie,"Action, Comedy, Fantasy",2012,tt2184098,6.7,152,JP
"Fortune Salon",movie,"Comedy, Romance",2009,tt1872798,5.4,191,JP
"The Locker",movie,"Horror, Thriller",2004,tt0475147,5,619,JP
"The Locker 2",movie,"Horror, Thriller",2004,tt0470536,4.9,342,JP
Cell,movie,"Action, Adventure, Horror",2016,tt0775440,4.4,31201,JP
"The Last Days",movie,"Horror, Sci-Fi, Thriller",2013,tt1935914,6.1,9127,JP
"Furious 7",movie,"Action, Crime, Thriller",2015,tt2820852,7.1,420572,JP
"Jubilation Street",movie,"Drama, War",1944,tt0036977,6.2,194,JP
"7 uomini d'oro",movie,"Comedy, Crime, Drama",1965,tt0059707,6.6,505,JP
"Il grande colpo dei 7 uomini d'oro",movie,"Adventure, Comedy, Crime",1966,tt0061726,5.7,219,JP
"Space Sheriff Gavan: The Movie",movie,"Adventure, Sci-Fi",2012,tt2278398,6.7,103,JP
"American Hustle",movie,"Crime, Drama",2013,tt1800241,7.2,504958,JP
Army,movie,"Drama, War",1944,tt0037227,6.5,442,JP
"You Laugh But It's True",movie,Comedy,2011,tt1671547,7.1,1228,US
"The Mamiya Brothers",movie,"Comedy, Drama, Romance",2006,tt0777932,6.4,247,JP
Möbius,movie,"Drama, Thriller",2013,tt2106550,6.1,5857,JP
"Night Drum",movie,Drama,1958,tt0052414,7.3,170,JP
"Whatcha Wearin'?",movie,"Comedy, Romance",2012,tt2592336,6.9,2909,JP
"Behold Thy Son",movie,Drama,1957,tt0050591,7.1,117,JP
"Elevator Trap",movie,Thriller,2009,tt1470554,6.3,138,JP
"The Oil-Hell Murder",movie,Drama,1992,tt0105060,6.5,210,JP
Gunmen,movie,"Action, Drama, Western",1988,tt0096263,6,245,JP
"The Shooter",movie,"Crime, Drama, Thriller",2013,tt2381989,5.6,1853,JP
"Veronika Decides to Die",movie,Drama,2005,tt0485292,5.8,122,JP
"Be Crazy About Me",movie,"Comedy, Drama, Music",2012,tt2123136,5.8,47,JP
"Jane Got a Gun",movie,"Action, Drama, Western",2015,tt2140037,5.9,24241,US
"A Chorus of Angels",movie,"Drama, Mystery",2012,tt2046110,6.6,337,JP
"The Kirishima Thing",movie,Drama,2012,tt2142797,7.2,2660,JP
"Wuthering Heights",movie,Drama,1988,tt0095786,6.9,307,JP
"The Shadow Within",movie,Drama,1970,tt0203605,7,229,JP
"Virgin Rose",movie,"Crime, Drama",2006,tt0450836,5.2,318,JP
"The Nineteen Year-Old's Map",movie,Drama,1979,tt0255281,6.9,160,JP
"Until the Break of Dawn",movie,Drama,2012,tt2338355,6.4,273,JP
"8000 Miles",movie,"Drama, Music",2009,tt1390982,6.5,131,JP
"Tora-san's Forget Me Not",movie,Comedy,1973,tt0070495,6.7,132,JP
"Tiger & Bunny the Movie: The Beginning",movie,"Action, Animation, Sci-Fi",2012,tt2507174,6.5,353,JP
"Super Kamen Rider Den-O & Decade Neo Generations: The Onigashima Battleship",movie,"Action, Adventure, Comedy",2009,tt1424059,6.3,119,JP
"Tokumei Sentai Go-Busters vs. Kaizoku Sentai Gokaiger: The Movie",movie,"Action, Sci-Fi",2013,tt2553376,7.1,76,JP
"Be My Slave",movie,Drama,2012,tt2304662,5.1,590,JP
"Petaru dansu",movie,Drama,2013,tt2301059,6.7,435,JP
"Odd Thomas",movie,"Comedy, Fantasy, Horror",2013,tt1767354,6.8,58483,JP
Submission,movie,"Drama, War",1976,tt0076668,6.3,603,JP
"Shield of Straw",movie,"Action, Crime, Drama",2013,tt2347144,6.2,2755,JP
"Terebi bakari miteruto baka ni naru?",movie,Comedy,2007,tt3816502,5.6,47,JP
"Northern Elegy",movie,Drama,1957,tt0050167,6.9,125,JP
"Night at the Museum: Secret of the Tomb",movie,"Adventure, Comedy, Family",2014,tt2692250,6.2,138889,"JP, US"
Enemy,movie,"Drama, Mystery, Thriller",2013,tt2316411,6.9,220563,JP
"Tôkyô yakyoku",movie,"Drama, Mystery",1997,tt0120346,6,110,JP
"Dark Places",movie,"Crime, Drama, Mystery",2015,tt2402101,6.2,48443,JP
"The Great Passage",movie,Drama,2013,tt2315226,7.3,2899,JP
"Three Points",movie,Drama,2011,tt1888618,6,15,JP
"Young & Beautiful",movie,"Drama, Romance",2013,tt2752200,6.7,38881,JP
"Deliver Us from Evil",movie,"Crime, Horror, Mystery",2014,tt2377322,6.2,87347,US
Simsons,movie,Drama,2006,tt0872019,7.2,45,JP
Fourteen,movie,Drama,2007,tt0960784,5.8,52,JP
Zulu,movie,"Action, Crime, Drama",2013,tt2249221,6.7,20040,JP
"Daily Lives of High School Boys",movie,"Comedy, Romance",2013,tt2851298,5.4,177,JP
"Death Billiards",movie,"Animation, Drama, Mystery",2013,tt2807626,7.5,2131,JP
Unchain,movie,"Documentary, Sport",2000,tt0280170,6.5,81,JP
"Ramen Samurai",movie,"Comedy, Drama",2011,tt1861411,6.7,73,JP
"Tokyo Family",movie,Drama,2013,tt1796652,7.5,2265,JP
"Kamen Rider Movie War Mega Max: Kamen Rider vs. Kamen Rider Fourze & OOO",movie,"Action, Adventure, Comedy",2011,tt2084868,7,200,JP
"Engine sentai Go-onger: Boom boom! Bang bang! GekijoBang!!",movie,"Action, Short",2008,tt1266642,5.8,44,JP
"The Legend of Hercules",movie,"Action, Adventure, Fantasy",2014,tt1043726,4.3,56614,JP
"Engine Sentai Go-onger VS Gekiranger",movie,"Action, Drama",2009,tt1344712,6.3,44,JP
"Juken sentai Gekiranger: Nei-Nei! Hou-Hou! Hong Kong Decisive Battle",movie,"Action, Short",2007,tt1320270,7,33,JP
"Kamen Rider Kiva: King of the Castle in the Demon World",movie,"Action, Drama, Fantasy",2008,tt1285118,5.8,113,JP
"Kamen Rider Movie War Core: Kamen Rider vs. Kamen Rider OOO & W Featuring Skull",movie,"Action, Adventure, Fantasy",2010,tt1788390,6.4,155,JP
"Samurai sentai Shinkenger the Movie: The Fateful War",movie,"Action, Short",2009,tt1467295,7.2,61,JP
"Samurai Sentai Shinkenger vs. Go-onger Ginmaku Bang!",movie,Action,2010,tt1567735,6.7,79,JP
EGG.,movie,"Horror, Mystery, Sci-Fi",2005,tt0499321,6,127,JP
"Star Trek Beyond",movie,"Action, Adventure, Sci-Fi",2016,tt2660888,7,261699,JP
"Beast in the Shadows",movie,"Crime, Mystery, Thriller",1977,tt0319334,6.7,119,JP
"Akko's Secret",movie,"Comedy, Fantasy, Romance",2012,tt1818377,5.7,334,JP
"The Blazing Sword",movie,Action,1966,tt1981026,6.3,46,JP
"Battles Without Honor and Humanity: Aftermath",movie,"Action, Crime",1979,tt0326189,6.7,34,JP
"Fue no shiratama",movie,Drama,1929,tt0335110,7,95,JP
"American Sniper",movie,"Action, Biography, Drama",2014,tt2179136,7.3,539316,JP
"The Secret Scandal",movie,"Drama, Thriller",2013,tt3144390,5.6,197,JP
"The Employer",movie,Thriller,2013,tt1863203,4.3,1437,JP
"The Devil's Violinist",movie,"Biography, Drama, Musical",2013,tt2401715,6,3896,JP
"No Escape",movie,"Action, Thriller",2015,tt1781922,6.7,94921,JP
"Third Person",movie,"Drama, Romance",2013,tt2343793,6.3,29581,JP
"The Owl vs. Bumbo",movie,"Action, Comedy",1984,tt0087679,5.7,208,JP
Privacy,movie,Thriller,2012,tt2008602,7.2,57,JP
"The Fate of Lee Khan",movie,"Action, Drama",1973,tt0070942,7.2,910,JP
"Die Fighting",movie,"Action, Thriller",2014,tt2382090,4.5,580,JP
"Library Wars",movie,"Action, Comedy, Drama",2013,tt2315236,5.8,1026,JP
"The Gifted Hands",movie,"Drama, Mystery, Sci-Fi",2013,tt2709764,6.4,1292,JP
"Birdman or (The Unexpected Virtue of Ignorance)",movie,"Comedy, Drama",2014,tt2562232,7.7,674474,"JP, US"
"Home from the Sea",movie,Drama,1972,tt0070187,7.3,329,JP
Montage,movie,"Crime, Mystery, Thriller",2013,tt2969522,7.4,8489,JP
Neighbors,movie,Comedy,2014,tt2004420,6.3,334091,US
Collide,movie,"Action, Adventure, Crime",2016,tt2126235,5.7,17577,JP
"A Wedding Invitation",movie,"Drama, Romance",2013,tt2910520,6,531,JP
"Department Q: The Keeper of Lost Causes",movie,"Crime, Drama, Mystery",2013,tt2438644,7.2,33676,JP
"Eighteen in the Sun",movie,Comedy,1962,tt0055906,5.3,140,JP
"Winds of God",movie,"Comedy, Drama, Fantasy",1995,tt0108571,6.4,20,JP
"School Days with a Pig",movie,"Comedy, Drama",2008,tt1293094,6.9,324,JP
"A Class to Remember",movie,Drama,1993,tt0202364,7,274,JP
"A Lone Scalpel",movie,Drama,2010,tt1468338,6.9,97,JP
Minazuki,movie,Drama,1999,tt0210173,6.3,86,JP
Evidence,movie,"Crime, Horror, Mystery",2013,tt1828970,5.3,7897,JP
"The Garden of Words",movie,"Animation, Drama, Romance",2013,tt2591814,7.4,54663,JP
"Happy Din Don",movie,"Comedy, Romance",1986,tt0091227,5.2,78,JP
Teppanyaki,movie,"Comedy, Romance",1984,tt0088268,5.8,224,JP
"The Maze Runner",movie,"Action, Mystery, Sci-Fi",2014,tt1790864,6.8,523354,JP
"Police Dog Dream",movie,Drama,2010,tt1583288,6.4,59,JP
"The Ravine of Goodbye",movie,Drama,2013,tt2487684,6.7,516,JP
"Pawn Shop Chronicles",movie,"Action, Comedy, Crime",2013,tt1741243,5.9,12284,JP
"Secretly Greatly",movie,"Action, Comedy, Drama",2013,tt2967578,6.8,5277,JP
"Tom and Jerry's Giant Adventure",movie,"Adventure, Animation, Comedy",2013,tt3108584,6,1127,JP
"Mystery Road",movie,"Crime, Drama, Mystery",2013,tt2236054,6.6,8713,JP
Flu,movie,"Action, Crime, Drama",2013,tt2351310,6.6,14926,JP
Puppylove,movie,"Drama, Romance",2013,tt2311526,5.7,1198,JP
"A Story of Yonosuke",movie,Drama,2012,tt2151915,7.5,2364,JP
"Knight of the Dead",movie,"Action, Fantasy, Horror",2013,tt2798680,2.7,664,JP
"Tora-San Goes French",movie,Comedy,1973,tt0070496,6.5,125,JP
"Tora-San's Cherished Mother",movie,"Comedy, Drama, Romance",1969,tt0066607,7,256,JP
"Tug of War!",movie,Comedy,2012,tt2103275,6,57,JP
"Ninpuu Sentai Hurricanger Shushuuto the Movie",movie,"Action, Short",2002,tt2523882,7,26,JP
"Mahou Sentai Magiranger the Movie: The Bride of Infershia",movie,"Adventure, Horror, Short",2005,tt0791182,6.5,30,JP
"Kaizoku Sentai Gokaiger vs. Space Sheriff Gavan: The Movie",movie,Adventure,2012,tt2099643,7.2,122,JP
"Kaizoku Sentai Gokaiger the Movie: The Flying Ghost Ship",movie,"Action, Adventure, Short",2011,tt1980997,6.5,91,JP
"GoGo Sentai Boukenger the Movie: The Greatest Precious",movie,"Action, Family, Sci-Fi",2006,tt0824339,7.4,38,JP
"Tokusou Sentai Dekaranger the Movie: Full Blast Action",movie,"Action, Short",2004,tt0816680,7.2,63,JP
"Tensou Sentai Goseiger: Epic on the Movie",movie,"Action, Short",2010,tt1667123,6,28,JP
"Tensou Sentai Goseiger vs. Shinkenger: Epic on Ginmaku",movie,Action,2011,tt1764632,6.3,67,JP
"Love, Rosie",movie,"Comedy, Romance",2014,tt1638002,7.1,159036,JP
"Hyakujuu Sentai Gaoranger: The Fire Mountain Roars",movie,Short,2001,tt0861351,6.6,37,JP
"Bakuryuu Sentai Abaranger Deluxe: Abare Summer Is Freezing Cold",movie,Short,2003,tt0860893,6.7,37,JP
"Ultraman Cosmos: The Blue Planet",movie,"Action, Sci-Fi",2002,tt1260515,6.9,88,JP
"Fukigen na kajitsu",movie,Drama,1997,tt0294589,5,31,JP
"Tora-san's Sunrise and Sunset",movie,Comedy,1976,tt0075026,7,125,JP
"Tora-san's Grand Scheme",movie,Comedy,1970,tt0066370,6.7,158,JP
"Blue Exorcist: The Movie",movie,"Action, Adventure, Animation",2012,tt3028018,7.1,2587,JP
"Four Days of Snow and Blood",movie,"Action, Drama, War",1989,tt0203022,6.3,225,JP
"Tokyo Park",movie,"Drama, Family",2011,tt1783792,6.2,241,JP
"May Love Be Restored",movie,"Drama, Romance",1980,tt2401716,6.7,34,JP
"The Man from U.N.C.L.E.",movie,"Action, Adventure, Comedy",2015,tt1638355,7.2,340928,JP
"The Brain Man",movie,"Crime, Mystery",2013,tt2208020,6.4,1136,JP
Homefront,movie,"Action, Crime, Thriller",2013,tt2312718,6.5,133036,JP
"Humanoid Monster, Bem the Movie",movie,Horror,2012,tt2210828,5.4,119,JP
"Final Take: The Golden Age of Movies",movie,"Comedy, Drama",1986,tt0093348,7,201,JP
"Killer Toon",movie,"Horror, Thriller",2013,tt2973516,6.2,2321,JP
"HK: Forbidden Super Hero",movie,Comedy,2013,tt2708764,5.8,2814,JP
Zomvideo,movie,"Comedy, Horror",2011,tt2089864,5,124,JP
"Hotel Blu Kaien",movie,Drama,2012,tt1949198,6.1,73,JP
"Kamen Rider Movie War Ultimatum: Kamen Rider vs. Kamen Rider Wizard & Fourze",movie,"Action, Adventure, Comedy",2012,tt2519428,6.9,137,JP
Philomena,movie,"Biography, Comedy, Drama",2013,tt2431286,7.6,104532,JP
"Kyoto Story",movie,Drama,2010,tt2100562,6.5,214,JP
"Our Kind of Traitor",movie,"Action, Crime, Drama",2016,tt1995390,6.2,24320,JP
"The Imitation Game",movie,"Biography, Drama, Thriller",2014,tt2084970,8,838359,JP
"Tokumei Sentai Go-Busters Returns vs. Dôbutsu Sentai Go-Busters",movie,"Action, Sci-Fi",2013,tt2754918,7,26,JP
"Waiting in the Dark",movie,"Drama, Romance, Thriller",2006,tt0872007,7.1,350,JP
"Mademoiselle C",movie,Documentary,2013,tt2506388,5.6,688,JP
Predestination,movie,"Action, Drama, Sci-Fi",2014,tt2397535,7.4,312509,JP
"Ue o muite arukô",movie,Drama,1962,tt0208529,6.5,25,JP
"The Unbroken",movie,Drama,2009,tt1337125,6.7,260,JP
"Granny Gabai",movie,"Drama, Family",2006,tt0480773,6.7,226,JP
"A Tale of Sorrow",movie,Drama,1977,tt0076146,6.4,301,JP
"Role Play",movie,Thriller,2012,tt2973730,5.9,67,JP
"Kingsman: The Secret Service",movie,"Action, Adventure, Comedy",2014,tt2802144,7.7,734673,JP
"Stonehearst Asylum",movie,"Drama, Horror, Mystery",2014,tt1772264,6.8,61544,JP
"Free and Easy 11",movie,Comedy,2000,tt0328573,5.9,21,JP
"Amagi Pass",movie,"Drama, Mystery",1983,tt0128039,7,166,JP
Herb,movie,Drama,2007,tt0969274,6.4,261,JP
"Kumail Nanjiani: Beta Male",movie,Comedy,2013,tt2901584,7,516,US
"A Tale of Samurai Cooking: A True Love Story",movie,"Drama, History",2013,tt2653264,6.7,576,JP
"Kurayami kara te wo nobase",movie,Drama,2013,tt2720908,6.5,58,JP
"Second Virginity",movie,Drama,2011,tt1854361,5,53,JP
"The Jungle",movie,"Horror, Thriller",2013,tt2444092,3.7,1008,JP
"Batman v Superman: Dawn of Justice",movie,"Action, Adventure, Sci-Fi",2016,tt2975590,6.5,761042,JP
"Enough Said",movie,"Comedy, Drama, Romance",2013,tt2390361,7,67258,US
"Rikidozan: A Hero Extraordinary",movie,"Biography, Drama, Sport",2004,tt0435931,6.7,336,JP
"Twilight Syndrome: Dead Go Round",movie,Horror,2008,tt1281397,5.4,86,JP
"Twilight Syndrome: Dead Cruise",movie,Horror,2008,tt1275848,4,55,JP
"Kamen Rider Super Den-O Trilogy: Episode Red - Zero's Star Twinkle",movie,"Action, Adventure, Comedy",2010,tt1663158,5.4,72,JP
"Kamen Rider Super Den-O Trilogy: Episode Blue - The Dispatched Imagin is Newtral",movie,"Action, Adventure, Comedy",2010,tt1670661,5.4,68,JP
"Kamen Rider Super Den-O Trilogy: Episode Yellow - Treasure de End Pirates",movie,"Action, Adventure, Comedy",2010,tt1675293,5,70,JP
"Year One in the North",movie,Drama,2005,tt0439226,6.6,175,JP
"Hissatsu!: Sure Death!",movie,Drama,1984,tt0194940,5.5,89,JP
Mortdecai,movie,"Action, Adventure, Comedy",2015,tt3045616,5.5,77674,JP
"The Pavillion Salamandre",movie,Comedy,2006,tt0860508,5.1,110,JP
Persona,movie,"Action, Thriller, Drama, Science Fiction",2008,tt1164629,5.5,46,JP
"The Pact",movie,Comedy,2011,tt1956665,7.4,16,JP
"Blood Shot",movie,"Action, Comedy, Horror",2013,tt1196124,3.7,894,JP
"Hunter X Hunter: Phantom Rouge",movie,"Action, Adventure, Animation",2013,tt2918988,6.6,3344,JP
"Patema Inverted",movie,"Adventure, Animation, Drama",2013,tt2981768,7.3,10410,JP
"Oboroyo no onna",movie,Drama,1936,tt0028052,7,80,JP
"Sergeant Keroro Super Movie 2: The Deep Sea Princess de arimasu!",movie,"Animation, Comedy, Family",2007,tt1207645,6.5,84,JP
"The Great Battle of the Flying Saucers",movie,"Action, Animation, Sci-Fi",1975,tt3445068,6,30,JP
"The Catch",movie,Drama,1983,tt0085632,6.9,181,JP
"Leaving on the 15th Spring",movie,Drama,2013,tt2368527,7.1,187,JP
"Before the Vigil",movie,Drama,2013,tt2215466,6,91,JP
"Hide and Seek",movie,"Horror, Mystery, Thriller",2013,tt3155654,6.3,2431,JP
"Zone Pro Site: The Moveable Feast",movie,Comedy,2013,tt3166476,6.5,699,JP
"Pretty Cure All Stars New Stage 2: Kokoro no Tomodachi",movie,"Action, Adventure, Animation",2013,tt6447408,7.4,22,JP
"Ted 2",movie,Comedy,2015,tt2637276,6.3,240082,JP
"Documentary of AKB48: To Be Continued",movie,"Documentary, Music",2011,tt1780821,7.4,61,JP
"Carmen Falls in Love",movie,Comedy,1952,tt0044793,6.2,238,JP
Bethlehem,movie,"Drama, Thriller, War",2013,tt2915160,7.1,2274,JP
"Fifty Shades of Grey",movie,"Drama, Romance, Thriller",2015,tt2322441,4.2,340974,JP
"A Broken Drum",movie,"Comedy, Drama",1949,tt0042056,6.9,127,JP
"Into the Storm",movie,"Action, Adventure, Drama",2014,tt2106361,5.8,72486,JP
"Danger Stalks Near",movie,Comedy,1957,tt0050421,6.4,140,JP
Avenged,movie,"Action, Fantasy, Horror",2013,tt2378453,5.5,4517,JP
"Mike Birbiglia: My Girlfriend's Boyfriend",movie,Comedy,2013,tt2937390,7.9,3736,US
"Farewell to Spring",movie,Drama,1959,tt0053259,6.4,146,JP
"The Shape of Night",movie,"Crime, Drama",1964,tt2162278,7.4,208,JP
"Left Behind",movie,"Action, Fantasy, Sci-Fi",2014,tt2467046,3.1,43101,JP
"The Garden of Women",movie,Drama,1954,tt0047300,6.9,250,JP
"The Girl I Loved",movie,"Drama, Romance",1946,tt0039091,6.4,133,JP
"The Good Fairy",movie,Drama,1951,tt0043159,6.5,101,JP
"The Living Magoroku",movie,Drama,1943,tt0036034,6,156,JP
"Back on Track",movie,"Comedy, Drama, Sport",2013,tt2320968,7.1,2512,JP
"The Ghost of Yotsuya: Part II",movie,Horror,1949,tt0380827,6.7,251,JP
"Kamisamaga kureta akanbô",movie,Drama,1979,tt0322919,5.8,47,JP
"Iron Girl",movie,Action,2012,tt2290648,4.2,158,JP
Travelers,movie,"Action, Adventure, Sci-Fi",2013,tt2734790,4.6,171,JP
"Kaibutsu-kun: The Movie",movie,"Adventure, Comedy, Fantasy",2011,tt1817186,5.1,62,JP
"The End of Summer",movie,"Biography, Drama, Romance",2013,tt2222458,6,143,JP
"Miss Zombie",movie,Horror,2013,tt2542616,6.2,782,JP
"On the Way to School",movie,Documentary,2013,tt3013258,7.3,1300,JP
Wer,movie,"Action, Horror, Mystery",2013,tt2229511,5.9,10064,JP
"Seven Days of Himawari and Her Puppies",movie,Drama,2012,tt2114398,6.7,151,JP
"The Backwater",movie,Drama,2013,tt2403453,6.2,380,JP
"The Boy and the World",movie,"Adventure, Animation, Family",2013,tt3183630,7.5,7703,JP
"Man Who Causes a Storm",movie,"Drama, Music",1957,tt0160007,6.1,103,JP
"Crest of Betrayal",movie,"Action, Drama, Horror",1994,tt0109430,6.4,291,JP
"The Fallen Angel",movie,Drama,2010,tt1361324,5.8,274,JP
Gacchaman,movie,"Action, Drama, Fantasy",2013,tt2451110,4.9,531,JP
Non-Stop,movie,"Action, Mystery, Thriller",2014,tt2024469,6.9,279138,JP
"Forget Love for Now",movie,Drama,1937,tt0796596,6.9,96,JP
"My Sons",movie,"Drama, Romance",1991,tt0102488,7.5,363,JP
"Steins;Gate: The Movie - Load Region of Déjà Vu",movie,"Animation, Mystery, Sci-Fi",2013,tt2967286,7.8,9966,JP
"I'll Give It My All... Tomorrow",movie,Comedy,2013,tt2401037,6.5,199,JP
"The Shadow Spirit",movie,"Crime, Mystery, Thriller",2007,tt0949831,5.3,117,JP
"Marc Maron: Thinky Pain",movie,Comedy,2013,tt3004634,7.3,1978,US
"The Little Penguin Pororo's Racing Adventure",movie,"Animation, Family, Sport",2013,tt2652476,5.2,257,JP
"Let Him Rest in Peace",movie,"Crime, Drama",1985,tt0380761,6.6,68,JP
"Dawn of a Filmmaker: The Keisuke Kinoshita Story",movie,"Biography, Drama, War",2013,tt2444942,6.8,122,JP
"The Returned",movie,"Crime, Drama, Horror",2013,tt2093270,5.9,8841,JP
"Tough as Iron",movie,"Action, Drama, Family",2013,tt3153628,6,351,JP
"Garo and the Wailing Dragon",movie,"Action, Drama, Fantasy",2012,tt2476436,5.9,124,JP
"Rough Play",movie,Drama,2013,tt2653262,5.6,479,JP
Fury,movie,"Action, Drama, War",2014,tt2713180,7.6,562015,JP
"The SpongeBob Movie: Sponge Out of Water",movie,"Adventure, Animation, Comedy",2015,tt2279373,6,62708,JP
"Kankin tantei",movie,Mystery,2013,tt2431938,,,JP
"The Pact II",movie,"Horror, Mystery, Thriller",2014,tt2924442,4.4,3815,JP
"Kiyoku yawaku",movie,"Comedy, Romance",2013,tt2546434,6.7,649,JP
"Ninpuu Sentai Hurricaneger: 10 Years After",movie,"Action, Adventure, Comedy",2013,tt2944060,7.3,34,JP
"The Apology King",movie,Comedy,2013,tt2556296,6.3,446,JP
"Han Gong-ju",movie,"Crime, Drama",2013,tt3265462,7.2,2885,JP
"Junk Food",movie,"Crime, Drama",1997,tt0119407,5.7,189,JP
"Hanasaku Iroha: Home Sweet Home",movie,"Animation, Comedy, Drama",2013,tt2404237,7,407,JP
"Blood and Ties",movie,"Drama, Thriller",2013,tt3271700,6.4,1552,JP
"Big Game",movie,"Action, Adventure, Comedy",2014,tt2088003,5.4,36114,JP
"Hayabusa: The Long Voyage Home",movie,Drama,2012,tt1825130,5.4,85,JP
"The Champions",movie,"Comedy, Sport",1983,tt0085260,6.7,201,JP
"Sweet Whip",movie,"Drama, Mystery",2013,tt2474906,5.8,459,JP
Bushido,movie,"Action, Drama, History",2013,tt2698678,6.8,63,JP
"Tora-san Goes Religious?",movie,Comedy,1983,tt0086062,7.1,96,JP
"The End of Puberty",movie,Drama,2011,tt2258425,4.8,26,JP
"Kaidan Shin Mimibukuro - Igyô",movie,Horror,2012,tt2183374,6.2,31,JP
"GameCenter CX: The Movie - 1986 Mighty Bomb Jack",movie,Action,2014,tt3075398,5.4,25,JP
"Nuigulumar Z",movie,"Action, Comedy, Fantasy",2013,tt2849348,5.6,144,JP
"Princess Sakura: Forbidden Pleasures",movie,"Adventure, Comedy, Drama",2013,tt2779932,3.9,212,JP
"Furueru shita",movie,"Drama, Horror",1980,tt0409992,7,240,JP
"Sergeant Keroro the Super Movie: Creation! Ultimate Keroro, Wonder Space-Time Island De Arimasu!!",movie,"Action, Animation, Comedy",2010,tt1606599,5.7,49,JP
"Kamen Rider × Super Sentai × Space Sheriff: Super Hero Taisen Z",movie,"Action, Adventure, Comedy",2013,tt2632184,6.4,147,JP
"A Country Christmas Story",movie,"Drama, Family, Musical",2013,tt3076718,6.3,688,US
"The Five",movie,"Action, Crime, Thriller",2013,tt3754322,6.5,997,JP
"Phone Call to the Bar 2",movie,Comedy,2013,tt2381618,6,197,JP
"The Cobbler",movie,"Comedy, Drama, Fantasy",2014,tt3203616,5.8,61608,US
"Saving Santa",movie,"Adventure, Animation, Comedy",2013,tt2204315,5.3,2813,JP
"Enemies Closer",movie,"Action, Thriller",2013,tt2395199,5.1,6783,JP
"Speed Master",movie,Action,2007,tt1016319,5.8,77,JP
"Bodacious Space Pirates: Abyss of Hyperspace",movie,"Adventure, Animation, Comedy",2014,tt3204020,6.1,69,JP
"Hunter x Hunter: The Last Mission",movie,"Action, Adventure, Animation",2013,tt3198698,6.6,2887,JP
"Tora-san's Forbidden Love",movie,"Comedy, Romance",1984,tt0087858,6.3,84,JP
Touchless,movie,"Drama, Thriller",2013,tt2508332,4.1,292,JP
"Tokyo Tribe",movie,"Action, Fantasy, Musical",2014,tt2808986,6.4,3685,JP
